GW-Nummer;Messstelle;Datum;Abstich [cm];LF [µS/cm];pH [ -];O2 [mg/l];O2-Sätt [%];Q [l/s];T [°C];F [mg/l];Mg [mg/l];PO4 [mg/l];NH4 [mg/l];Ca [mg/l];Cl [mg/l];DOC [mg/l];Fe [mg/l];Mn [mg/l];Na [mg/l];NO3 [mg/l];P, ges [mg/l];KS 4,3 [mmol/l];KS 8,2 [mmol/l];SO4 [mg/l];GH [mmol/l];Tr.quant [FNU];K [mg/l]
0133/258-0;SBR 470, Friedrichstal;12.03.2015 13:45;375;589;7.19;6.3;58;;11.3;;;;0.01;;;;;;;13.2;;;;;;;
0133/258-0;SBR 470, Friedrichstal;08.09.2015 08:47;405;604;7.16;3.7;36;;15.1;;16.7;0.17;0.01;97.8;21;;;;15.9;10.6;;5.8;;30;3.13;;10.1
0133/258-0;SBR 470, Friedrichstal;09.03.2016 09:58;413;613;7.12;2.9;26.5;;11.2;;;;;;;;;;;10.6;;;;;;;
0133/258-0;SBR 470, Friedrichstal;05.09.2016 00:00;411;639;7.19;2.8;28;;14.3;;16;;0.10;110;29;;;;17;14.2;;5.85;;39;3.4;;10
0133/258-0;SBR 470, Friedrichstal;08.03.2017 14:08;438;638;7.26;2.8;25;;10.1;;;;0.07;;;;;;;10.2;;;;;;;
0133/258-0;SBR 470, Friedrichstal;19.03.2018 11:45;400;626;7.55;6.3;52;;9.8;;17;0.401;0.02;103;30;2.5;0.056;0.01;19.3;11.9;;5.43;;50.7;3.27;;11.8
0133/258-0;SBR 470, Friedrichstal;11.09.2018 15:10;401;656;7.07;5.2;51;;14.8;;;;0.11;;;;;;;12.2;;;;;;;
0133/258-0;SBR 470, Friedrichstal;26.02.2019 17:20;427;673;7.68;8.8;83;;12.5;0.15;16.2;0.076;;106.8;36.9;1.5;0.081;0.02;20.6;10.8;;5.5;;45;3.33;;8.7
0133/258-0;SBR 470, Friedrichstal;16.09.2019 12:16;440;661;7.16;5.7;56.3;;15;;;;0.14;;;;;;;;;;;;;;
0238/260-9;TB, Ettlingen;10.01.2006 13:25;;525;6.36;2.2;22;;14.3;;;;;;;;;;;21.7;;;;;;;
0238/260-9;TB, Ettlingen;07.03.2006 13:30;;519;6.41;1.9;18;;13.4;;;;;;;;;;;21.3;;;;;;;
0238/260-9;TB, Ettlingen;02.05.2006 14:10;;516;6.47;1.8;18;;14.2;;;;;;;;;;;21.5;;;;;;;
0238/260-9;TB, Ettlingen;11.07.2006 14:12;;524;6.48;2;20;;15.1;;;;;;;;;;;19.5;;;;;;;
0238/260-9;TB, Ettlingen;12.09.2006 14:54;;516;6.4;1.9;19;;14.8;;;;;;;;;;;20.5;;;;;;;
0238/260-9;TB, Ettlingen;03.11.2006 10:13;;519;6.51;2.1;21;;14.8;;;;;;;;;;;20.5;;;;;;;
0238/260-9;TB, Ettlingen;10.09.2007 10:15;;;6.55;3.4;35;;15.3;;;;0.01;;;;;;;19.6;;;;;;;
0238/260-9;TB, Ettlingen;22.09.2008 11:15;;521;6.8;5.8;61;;17.5;;;;0.02;;;;;;;19.1;;;;;;;
0238/260-9;TB, Ettlingen;02.09.2009 08:20;;514;6.57;2.5;25;;14.8;0.07;12.1;0.043;;88.2;28.4;0.7;;;17;18.6;0.016;3.6;;69;2.7;1.22;2
0238/260-9;TB, Ettlingen;09.03.2010 10:45;;;6.74;2.2;21;;14.3;;;;;;;;;;;17.7;;;;;;;
0238/260-9;TB, Ettlingen;14.09.2010 11:10;385;506;6.51;2.6;26;;15.5;;;;;;;;;;;18.2;;;;;;;
0238/260-9;TB, Ettlingen;15.09.2011 14:15;435;512;6.63;3.5;36;;16.4;;;;;;;;;;;18.6;;;;;;;
0238/260-9;TB, Ettlingen;15.03.2012 17:55;383;487;6.59;2.1;21;;14.8;0.07;12;0.049;;78.9;28.1;0.7;;;16.6;17.3;;3.5;;60;2.46;;2
0238/260-9;TB, Ettlingen;11.09.2012 15:50;;495;6.54;2.6;26;;16.6;;;;;;;;;;;16.4;;;;;;;
0238/260-9;TB, Ettlingen;05.09.2013 11:20;;514;6.43;4.2;44;;15.4;;;;0.01;;;;;;;18.6;;;;;;;
0238/260-9;TB, Ettlingen;10.09.2014 14:30;470;509;6.52;3.7;39;;15.8;;;;;;;;;;;18;;;;;;;
0238/260-9;TB, Ettlingen;05.05.2015 08:45;;500;6.51;2.3;23;;14.1;0.06;10.7;0.032;;75.8;29.8;0.6;0.01;;16.2;18.4;;3.5;;57;2.33;;1.8
0238/260-9;TB, Ettlingen;09.09.2015 11:15;170;499;6.63;3.7;38;;16.8;;;;;;;;;;;18.6;;;;;;;
0238/260-9;TB, Ettlingen;08.09.2016 08:53;396;493;6.56;1.8;18;;14.8;;;;;;;;;;;16.3;;;;;;;
0238/260-9;TB, Ettlingen;26.09.2017 17:35;429;475;6.6;2.6;25;;14.8;;;;;;;;;;;15;;;;;;;
0238/260-9;TB, Ettlingen;04.09.2018 10:15;;486;6.33;3.1;31.2;;15.3;;;;;;;;;;;16.5;;;;;;;
0238/260-9;TB, Ettlingen;26.11.2018 10:05;433;477;6.47;;;;;0.06;11.5;0.046;;80.6;28;0.8;;;14.7;17.2;;3.4;;49;2.48;;2
0238/260-9;TB, Ettlingen;10.09.2019 12:04;445;489;6.48;3.1;30.9;;15.3;;;;;;;;;;;16.6;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;10.01.2006 08:50;;594;6.98;1.4;12;;10.9;;;;0.01;;;;;;;9.7;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;07.03.2006 08:27;;590;7.12;1.3;11;;9.9;;;;;;;;;;;8.1;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;02.05.2006 08:32;;594;7.13;1.7;15;;10;;;;;;;;;;;9.7;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;11.07.2006 08:26;;593;7.09;1.3;12;;11.7;;;;;;;;;;;8.9;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;12.09.2006 10:30;;577;7.15;2.2;21.1;;13.1;;;;;;;;;;;8.9;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;14.11.2006 10:45;;572;7.17;1;9.7;;12.4;;;;;;;;;;;9.2;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;03.04.2007 14:20;;598;7.15;1.7;16;;10.7;;;;;;;;;;;10.2;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;13.08.2007 08:10;;576;7.14;4.2;41;;13.1;0.08;9.7;;;116;16.1;0.59;;;7.2;8.4;;5.82;;42.1;3.3;0.48;1.85
0057/210-8;TB Pumpwerk, Au am Rhein;13.09.2007 08:35;;605;7.05;1.8;19;;13.1;;;;0.02;;;;;;;8.9;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;05.03.2008 09:45;;599;7.15;2.5;24;;10.1;;;;;;;;;;;11.6;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;15.09.2008 10:10;;585;7.29;;;;13.1;;;;;;;;;;;10;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;18.03.2009 16:00;;600;7.39;1.6;14.2;;9.8;;;;;;;;;;;10.3;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;31.08.2009 11:15;;;7.23;2.3;22;;13.5;;;;0.02;;;;;;;10.6;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;19.03.2010 08:20;;577;7.17;1.7;15;;9.9;0.08;10.7;;;119.9;17.5;0.5;;;7;12;;5.7;;52;3.43;0.31;1.9
0057/210-8;TB Pumpwerk, Au am Rhein;21.09.2010 10:00;;607;7.16;;;;13;;;;;;;;;;;9.3;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;24.03.2011 11:45;;601;7.1;1.7;15.3;;10.1;;;;;;;;;;;11.7;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;14.09.2011 13:00;;605;7.17;4.2;42;;13.7;;;;;;;;;;;9.3;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;22.03.2012 08:15;;583;7.26;1.5;13;;10.3;;;;;;;;;;;9.7;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;12.09.2012 09:00;;588;7.13;1.6;16;;12.8;;;;;;;;;;;10.5;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;13.03.2013 08:25;;;7.18;1.6;14;;9.9;;;;;;;;;;;11.1;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;10.09.2013 08:30;;606;7.15;1.4;14;;12.6;;;;;;;;;;;13;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;11.03.2014 08:35;;610;7.14;1.6;13;;10.2;;;;;;;;;;;11.3;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;04.09.2014 10:00;;607;7.2;2.2;22;;13.5;;;;0.01;;;;;;;10.8;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;09.03.2015 13:00;;605;7.14;1.4;14;;10.3;;;;;;;;;;;11.8;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;01.10.2015 10:00;;578;7.14;1.1;10.4;;12.8;0.06;10.2;;;115;15.3;0.6;;;6.9;11.8;;5.69;;42.5;3.29;;1.9
0057/210-8;TB Pumpwerk, Au am Rhein;30.03.2016 11:38;;566;7.05;2.6;24;;10.7;;;;;;;;;;;10;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;15.09.2016 09:21;;594;7.09;0.9;9;;13.4;;;;;;;;;;;11.1;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;14.03.2017 09:20;;563;7.18;1.7;15;;10.3;;;;;;;;;;;10.5;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;14.06.2017 08:20;;577;7.11;1.2;11;;11.4;0.09;10.4;;;121;15.2;0.39;;;6.4;11.6;;5.79;;41.2;3.45;;1.9
0057/210-8;TB Pumpwerk, Au am Rhein;14.09.2017 11:25;;576;7.11;1.2;12;;13;;;;;;;;;;;10.3;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;06.03.2018 09:20;;647;7.23;;;;10.3;;;;;;;;;;;11.6;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;11.03.2019 12:10;;576;7.2;2.7;25;;10.5;;;;;;;;;;;8.6;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;24.06.2019 08:57;;551;7.08;1.4;13;;12.1;;;;0.01;;;;;;;12;;;;;;;
0057/210-8;TB Pumpwerk, Au am Rhein;11.09.2019 09:35;;580;7.2;1.9;18;;13.4;;;;0.01;;;;;;;12.4;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;13.01.2006 08:23;;470;7.3;5.3;48;;11;;;;;;;;;;;15.6;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;10.03.2006 08:19;;465;7.29;5.1;47;;11.1;;;;;;;;;;;14.1;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;05.05.2006 08:10;;465;7.33;5.1;47;;11.3;;;;;;;;;;;13.9;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;07.07.2006 08:09;;462;7.28;5.4;50;;11.6;;;;;;;;;;;13.4;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;15.09.2006 08:22;;464;7.44;5.4;51;;11.6;;;;;;;;;;;14.3;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;03.11.2006 08:17;;461;7.35;4.9;45;;11.6;;;;0.01;;;;;;;14.4;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;03.04.2007 15:35;;455;7.35;5.1;48;;11.6;;;;;;;;;;;14;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;12.09.2007 09:50;;473;7.39;4.4;39.1;;11.9;;;;;;;;;;;14.3;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;06.03.2008 14:30;;439;7.35;5.3;48;;10.6;;;;;;;;;;;15.5;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;11.09.2008 08:00;;468;7.3;5.1;48;;11.8;;;;;;;;;;;18.7;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;19.03.2009 14:10;;470;7.41;5.1;47.2;;11.3;;;;;;;;;;;16.4;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;17.09.2009 08:45;;473;7.43;5.1;47.2;;11.9;;5.6;;0.01;92.5;14.7;0.5;0.026;;7;15.1;0.005;4.1;;37;2.54;;0.9
0033/210-9;TB WW Forchheim, Rheinstetten;19.03.2010 09:10;;443;7.33;4.5;42;;11.4;;;;0.02;;;;;;;13.3;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;21.09.2010 11:15;;451;7.39;5;47;;12.4;;;;;;;;;;;12.4;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;24.03.2011 09:15;;445;7.33;5.3;48.1;;11.2;;;;;;;;;;;13;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;14.09.2011 12:30;;466;7.4;6.1;58;;12.1;;;;;;;;;;;12.8;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;07.03.2012 16:10;;449;7.42;5.4;50;;11.5;;6.3;;;82;15.2;0.5;0.014;;9.8;14.6;;4.1;;34;2.31;;1.1
0033/210-9;TB WW Forchheim, Rheinstetten;18.09.2012 08:30;;452;7.38;4.6;42;;11.7;;;;;;;;;;;12.5;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;13.03.2013 09:55;;;7.38;4.9;46;;11.3;;;;;;;;;;;12.4;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;09.09.2013 08:00;;445;7.44;6.1;58;;12.3;;;;;;;;;;;12;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;18.03.2014 09:35;;456;7.43;5.3;49;;11.6;;;;;;;;;;;13.2;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;04.09.2014 09:35;;456;7.36;5.5;53;;13.3;;;;0.01;;;;;;;16;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;09.03.2015 09:45;;458;7.1;6.7;60;;10.8;;;;;;;;;;;18.1;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;28.05.2015 09:00;;460;7.28;4.9;45;;11.8;;5.2;;;86.1;14.8;0.5;0.02;;7.5;20.1;;4.1;;33;2.36;;0.9
0033/210-9;TB WW Forchheim, Rheinstetten;01.10.2015 12:30;;459;7.36;4.8;44.5;;11.8;;;;;;;;;;;19.2;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;03.03.2016 08:30;;465;7.41;5.1;48;;11.2;;;;;;;;;;;19.1;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;08.09.2016 10:30;;452;7.36;4.1;40;;12.4;;;;;;;;;;;17.8;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;14.03.2017 10:10;;452;7.34;4.9;45;;11.5;;;;0.02;;;;;;;17.7;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;20.09.2017 13:00;;465;7.43;4.5;42;;11.9;;;;;;;;;;;16.6;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;15.03.2018 10:35;;463;7.36;4.9;46;;11.4;;;;;;;;;;;16.2;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;04.09.2018 09:35;;465;7.46;5.1;47;;12.1;;;;;;;;;;;15.7;;;;;;;
0033/210-9;TB WW Forchheim, Rheinstetten;27.11.2018 09:16;;451;7.33;5.4;50;;12;;5.6;;;95.3;12.7;0.8;0.017;;6.3;16.6;;4;;31;2.61;;0.9
0033/210-9;TB WW Forchheim, Rheinstetten;26.03.2019 08:30;;463;;5.1;47;;11.9;;;;;;;;;;;18.6;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;13.01.2006 07:47;;526;7.13;0.8;7;;11.3;;;;0.02;;;;;;;0.9;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;10.03.2006 07:52;;518;7.18;0.6;5;;7.9;;;;0.01;;;;;;;0.8;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;05.05.2006 07:39;;524;7.19;1.1;10;;10.6;;;;0.02;;;;;;;0.8;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;07.07.2006 07:39;;521;7.12;1.3;12;;11.3;;;;0.02;;;;;;;0.7;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;15.09.2006 07:48;;519;7.15;1.2;12;;13.3;;;;0.02;;;;;;;0.7;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;03.11.2006 07:46;;513;7.17;2.1;20;;13.3;;;;0.02;;;;;;;1.1;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;03.04.2007 15:00;;506;7.22;1.5;14;;11.3;;;;;;;;;;;0.7;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;12.09.2007 10:50;;532;7.19;1.1;10.8;;13.4;;8.7;;0.01;109.6;10.8;;;;6.6;0.7;0.017;5.48;;29.1;3.1;;0.85
0056/210-3;TB WW Neuburgweier, Rheinstetten;06.03.2008 14:00;;534;7.25;1.2;10.6;;10.9;;;;;;;;;;;0.6;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;11.09.2008 08:45;;514;7.12;1.4;14;;13.1;;;;0.02;;;;;;;0.5;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;24.11.2008 09:30;;521;7.08;0.7;7;;12.6;;;;;;;;;;;;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;19.03.2009 14:55;;507;7.29;3.9;34.5;;10.9;;;;0.01;;;;;;;;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;17.09.2009 10:05;;519;7.22;1.2;11.2;;13;0.09;8.7;;0.02;105.6;11.6;0.6;0.233;0.03;7;;0.011;5.3;;31;2.99;;0.8
0056/210-3;TB WW Neuburgweier, Rheinstetten;25.03.2010 09:30;;485;7.34;5.5;50.6;;10.7;;;;0.01;;;;;;;0.6;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;21.09.2010 10:45;;508;7.22;2.3;22;;14.2;;;;;;;;;;;0.9;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;24.03.2011 10:15;;495;7.21;1.4;12.6;;10.4;;;;;;;;;;;0.6;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;14.09.2011 11:45;;521;7.2;2.2;22;;14.7;;;;;;;;;;;0.9;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;07.03.2012 15:30;;487;7.46;1;9;;10.6;0.08;9.4;;0.01;91.6;10.3;0.6;0.157;0.03;8;0.9;;5.4;;27;2.67;;1
0056/210-3;TB WW Neuburgweier, Rheinstetten;11.09.2012 11:20;;505;7.04;1.6;16;;13.6;;;;0.01;;;;;;;0.9;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;13.03.2013 09:30;;;7.25;1.3;12;;10.6;;;;0.02;;;;;;;;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;09.09.2013 08:30;;510;7.33;2.9;28;;12.9;;;;0.02;;;;;;;;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;11.03.2014 09:15;;516;7.23;1.5;14;;10.6;;;;;;;;;;;0.7;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;04.09.2014 09:00;;524;7.19;2.1;20;;13.6;;;;0.02;;;;;;;0.6;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;11.03.2015 08:23;;500;7.21;1.4;13;;11;;;;0.02;;;;;;;;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;28.05.2015 08:15;;533;7.07;1.4;13;;10.2;0.08;8.5;;;106;10.7;0.5;0.153;0.02;6;0.7;;5.8;;27;2.99;;0.7
0056/210-3;TB WW Neuburgweier, Rheinstetten;30.09.2015 10:30;;523;7.18;1;9.5;;13;;;;;;;;;;;;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;03.03.2016 08:00;;529;7.18;1.3;12;;11.2;;;;;;;;;;;1;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;28.09.2016 08:45;;526;7.18;1.5;15;;13.5;;;;0.01;;;;;;;0.7;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;14.03.2017 10:35;;509;7.2;1.1;10;;10.9;;;;0.02;;;;;;;1.1;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;20.09.2017 13:30;;532;7.26;1;9;;13;;;;0.01;;;;;;;;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;15.03.2018 10:55;;548;7.17;1.3;12;;11.1;;;;0.01;;;;;;;1.2;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;04.09.2018 10:00;;536;7.29;2;19;;13.5;;;;;;;;;;;0.7;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;27.11.2018 08:32;;515;7.17;0.8;8;;13.3;0.08;8.7;;0.02;108.9;10.6;1;0.252;0.03;6.2;0.5;;5.3;;26;3.07;;0.9
0056/210-3;TB WW Neuburgweier, Rheinstetten;26.03.2019 08:10;;525;;1.8;16.4;;11.3;;;;0.02;;;;;;;1.2;;;;;;;
0056/210-3;TB WW Neuburgweier, Rheinstetten;10.09.2019 08:20;;526;7.16;1.1;10.5;;13.3;;;;0.01;;;;;;;1.6;;;;;;;
0248/210-7;TB 1, Durmersheim;07.03.2006 10:56;;470;7.26;7.6;70;;11.3;;;;0.02;;;;;;;26.5;;;;;;;
0248/210-7;TB 1, Durmersheim;02.05.2006 11:10;;450;7.4;6.9;63;;11;;;;0.07;;;;;;;15.1;;;;;;;
0248/210-7;TB 1, Durmersheim;11.07.2006 11:26;;452;7.28;6;55;;11.4;;;;;;;;;;;14.6;;;;;;;
0248/210-7;TB 1, Durmersheim;13.09.2006 11:20;;447;7.39;7;66.6;;12.6;;;;;;;;;;;19.6;;;;;;;
0248/210-7;TB 1, Durmersheim;14.11.2006 09:20;;464;7.39;4.9;46.6;;12.5;;;;;;;;;;;32.1;;;;;;;
0248/210-7;TB 1, Durmersheim;14.09.2007 12:00;;460;7.33;7.3;68;;11.8;;3.6;;;100;6.3;;;;5.2;22.5;;4.22;;42.9;2.65;;1.61
0248/210-7;TB 1, Durmersheim;15.09.2008 09:00;;466;7.38;7.1;71.9;;15.6;;;;;;;;;;;21.1;;;;;;;
0248/210-7;TB 1, Durmersheim;09.10.2008 12:15;;458;7.42;6.9;64;;11.9;;3.5;;;86.6;6.6;0.54;0.02;;5.3;16.1;0.01;4.29;;41.3;2.3;0.12;1.63
0248/210-7;TB 1, Durmersheim;09.09.2009 13:00;;420;;6.7;67;;14;;;;;;;;;;;13.3;;;;;;;
0248/210-7;TB 1, Durmersheim;01.10.2009 14:35;;431;7.3;7.7;74;;11.7;;;;;;;;;;;;;;;;;;
0248/210-7;TB 1, Durmersheim;01.07.2010 09:00;;423;7.36;6.5;60;;11.4;;3.6;;;93.4;6.3;0.5;0.01;;5;15.5;0.007;4.2;;38;2.48;0.07;1.7
0248/210-7;TB 1, Durmersheim;21.09.2010 09:00;;456;7.45;8.2;78;;11.8;;;;;;;;;;;21.3;;;;;;;
0248/210-7;TB 1, Durmersheim;13.09.2011 13:00;;461;7.42;7.5;77;;15.6;;;;;;;;;;;21.7;;;;;;;
0248/210-7;TB 1, Durmersheim;13.09.2012 16:12;;438;7.3;7.6;74;;13.2;;;;;;;;;;;19.9;;;;;;;
0248/210-7;TB 1, Durmersheim;10.09.2013 14:20;;446;7.4;6.3;64;;12.6;;;;;;;;;;;23.6;;;;;;;
0248/210-7;TB 1, Durmersheim;08.09.2014 09:30;;438;7.35;6.4;68;;;;;;0.01;;;;;;;12.8;;;;;;;
0248/210-7;TB 1, Durmersheim;16.03.2015 08:20;;420;7.34;6.7;62;;10.5;;3.6;;;89.8;6.2;0.4;;;4.9;14.7;;4.3;;30;2.39;;1.7
0248/210-7;TB 1, Durmersheim;30.09.2015 12:00;;439;7.38;6.8;62.3;;11.4;;;;;;;;;;;16.9;;;;;;;
0248/210-7;TB 1, Durmersheim;15.09.2016 13:58;;449;7.38;6.8;68;;12;;;;;;;;;;;17.9;;;;;;;
0248/210-7;TB 1, Durmersheim;14.09.2017 10:40;;425;7.34;7.4;75;;14.8;;;;;;;;;;;21.6;;;;;;;
0248/210-7;TB 1, Durmersheim;18.12.2017 11:25;;457;7.42;7.6;69;;9.1;0.05;4;;;101;6.3;0.51;0.021;;5.2;27.9;;4.36;;31.1;2.68;;2.1
0248/210-7;TB 1, Durmersheim;05.09.2018 10:05;;447;7.21;7.1;66.8;;12.1;;;;;;;;;;;15.2;;;;;;;
0248/210-7;TB 1, Durmersheim;24.06.2019 10:40;;437;7.26;7.3;69;;12.2;;;;0.02;;;;;;;16;;;;;;;
0248/210-7;TB 1, Durmersheim;11.09.2019 12:10;;470;7.39;7.6;73;;12.8;;;;0.01;;;;;;;23.5;;;;;;;
0962/258-3;TB 1 Graben WV, Graben-Neudorf;20.09.2011 12:00;;620;7.35;2.5;25;;12;0.08;14.7;0.034;;108.5;25.3;0.7;;;12.9;27.5;;4.6;;86;3.31;;2.7
0962/258-3;TB 1 Graben WV, Graben-Neudorf;12.03.2012 08:30;;624;7.03;2.5;22.9;;11.5;;15.7;0.03;;114;26.9;;;;13;29.1;0.01;4.65;;78.9;3.49;;3.1
0962/258-3;TB 1 Graben WV, Graben-Neudorf;04.09.2012 08:20;;;7.17;2.3;21;;11.3;;16;0.037;;116;30;;;;17;32;0.014;4.61;;74.8;3.52;;3.7
0962/258-3;TB 1 Graben WV, Graben-Neudorf;12.03.2013 08:40;;630;7.27;2;20;;11.8;;;;;;;;;;;26.5;;;;;;;
0962/258-3;TB 1 Graben WV, Graben-Neudorf;17.09.2013 11:10;;;7.37;1.9;17.6;;11.4;;14.7;0.03;;109;26.8;;;;14.2;23.4;;4.68;;76.8;3.32;;2.7
0962/258-3;TB 1 Graben WV, Graben-Neudorf;12.03.2014 14:00;;623;7.42;4;37;;12.3;0.08;14;0.043;;103.5;28.9;0.8;;;12.9;29.7;;4.7;;73;3.16;;2.7
0962/258-3;TB 1 Graben WV, Graben-Neudorf;15.09.2014 08:29;;598;7.29;2.3;21;;11.5;;14.8;;;111;27.5;;;;13.9;31.8;;4.77;;70.3;3.38;;3
0962/258-3;TB 1 Graben WV, Graben-Neudorf;10.03.2015 08:45;;610;7.28;3.2;29.8;;11.9;;14.5;0.03;;109;28.3;;;;13.6;31.2;;4.74;;71.2;3.32;;3.1
0962/258-3;TB 1 Graben WV, Graben-Neudorf;16.09.2015 14:14;;611;7.24;2;19;;11.7;;15;0.05;;100;23;;;;13;25.8;;4.62;;57.9;3.11;;3.2
0962/258-3;TB 1 Graben WV, Graben-Neudorf;03.03.2016 08:15;;610;7.25;2.3;21.9;;11.9;;14.6;0.03;;106;26.7;;;;13.4;28.5;;4.8;;70.8;3.25;;3.1
0962/258-3;TB 1 Graben WV, Graben-Neudorf;06.07.2016 14:15;;636;7.12;1.9;17;;11.6;0.07;15.1;;;107.9;27.5;0.8;;;13.8;28.9;;4.7;;70;3.31;;3.1
0962/258-3;TB 1 Graben WV, Graben-Neudorf;05.09.2016 12:50;;633;7.29;1.1;10;;11.6;;15.2;0.033;;113;26.9;;;;13.3;27.1;;4.75;;78.2;3.44;;2.6
0962/258-3;TB 1 Graben WV, Graben-Neudorf;07.03.2017 08:20;;621;7.27;2;19;;11.8;;;;0.02;;;;;;;29.4;;;;;;;
